DATE_DEBUT,LATITUDE,LONGITUDE,MONTH,FIRE_RISK,MAX_TEMP,PRECIPITATION,WIND_SPEED,MIN_HUMIDITY,14_DAY_RAIN,14_DAY_AVG_TEMP,DAYS_SINCE_RAIN
2021-07-05,55.35540000100762,-76.09120000080318,7.0,1,27.5,3.2,25.1,52.0,56.8,14.921428571428573,3.0
2024-05-23,45.44912025301275,-72.99610331210583,5.0,0,24.1,0.8,24.3,44.0,24.9,21.27142857142857,2.0
2018-08-05,54.13842222542061,-78.2151279576695,8.0,0,21.8,13.5,43.0,68.0,30.3,20.057142857142857,5.0
2023-08-05,50.244302838091485,-59.53384554414925,8.0,0,16.3,0.2,27.5,81.0,121.1,16.264285714285716,4.0
2024-09-19,49.20651388758794,-71.77311210098125,9.0,0,21.7,0.0,10.2,58.0,30.6,21.142857142857142,2.0
2024-09-13,48.89590000000004,-72.40679999999998,9.0,1,24.8,0.0,13.0,41.0,37.9,20.785714285714285,1.0
2020-05-11,48.40440000069402,-64.5249999997427,5.0,1,11.4,0.0,27.4,38.0,64.6,6.814285714285716,2.0
2021-05-25,51.83976054934198,-78.72543765694722,5.0,0,23.5,3.5,18.5,59.0,48.9,14.907142857142857,3.0
2021-06-18,48.27450000120558,-78.02140000066383,6.0,1,26.8,7.6,22.8,40.0,6.8,22.72142857142857,4.0
2024-05-20,49.913332695594136,-73.76994685092443,5.0,0,22.3,0.0,20.2,27.0,46.9,13.728571428571428,1.0
2019-08-01,56.34180158839024,-72.57699493451815,8.0,0,12.7,1.8,16.3,64.0,69.6,15.485714285714284,1.0
2021-08-25,48.00590000123284,-77.75050000010212,8.0,1,25.0,3.7,13.8,63.0,8.700000000000001,26.1,6.0
2023-05-06,48.43129999959535,-71.4878999995853,5.0,1,21.1,0.0,18.4,27.0,31.6,11.4,5.0
2018-09-22,45.95807175038729,-62.1371363850358,9.0,0,21.2,1.1,44.7,50.0,22.9,19.72857142857143,3.0
2021-08-30,48.6169000013681,-69.12860000049079,8.0,1,23.4,1.6,27.9,54.0,11.1,23.464285714285715,4.0
2020-08-12,48.26350000078519,-69.60810000022666,8.0,1,26.7,1.6,16.6,44.0,73.6,24.207142857142856,1.0
2024-07-27,45.91820000000007,-70.34149999999994,7.0,1,23.9,0.0,12.5,45.0,29.8,23.142857142857142,2.0
2024-07-23,48.33072966316999,-65.59942204973946,7.0,0,21.8,0.1,12.9,42.0,30.1,25.41428571428572,5.0
2024-06-10,52.46550000000008,-66.85759999999993,6.0,1,21.3,1.8,20.4,38.0,46.7,18.50714285714286,11.0
2019-08-21,46.74830000118992,-79.04070000051594,8.0,1,25.3,2.1,16.5,54.0,38.3,23.11428571428572,2.0
2022-07-24,47.12190972033834,-76.22446846782822,7.0,0,21.7,41.0,17.7,86.0,42.4,24.528571428571432,1.0
2023-08-12,45.94049999987516,-70.96640000015987,8.0,1,21.8,0.1,14.5,55.0,73.0,20.214285714285715,1.0
2020-05-23,45.81970000084417,-73.94529999984269,5.0,1,20.5,0.0,20.5,22.0,10.3,15.942857142857145,8.0
2019-08-26,57.957845986651066,-63.90033140277631,8.0,0,18.4,0.0,42.2,56.0,23.3,9.492857142857144,6.0
2024-07-08,50.80860000000008,-74.05779999999999,7.0,1,26.3,1.1,18.4,47.0,45.2,20.22142857142857,4.0
2020-09-18,49.225123199259066,-78.6284652135866,9.0,0,7.0,0.0,14.5,47.0,47.7,14.357142857142858,2.0
2023-06-01,53.0081999998302,-78.81489999983506,6.0,1,22.6,0.0,16.3,25.0,19.8,10.342857142857143,5.0
2020-05-19,46.09740000085596,-72.2628999998675,5.0,1,18.7,0.0,18.0,31.0,15.3,12.064285714285717,4.0
2018-05-13,45.74810000099211,-72.10380000034951,5.0,1,19.2,0.0,14.5,26.0,48.5,16.67857142857143,3.0
2020-06-23,46.33720000091403,-74.49390000001515,6.0,1,26.9,3.2,15.6,55.0,29.4,22.39285714285714,1.0
2023-06-01,48.04949999972524,-72.01660000008991,6.0,1,28.5,1.4,13.0,37.0,52.8,18.457142857142856,8.0
2018-07-13,45.13530000115537,-74.20120000042793,7.0,1,31.8,0.0,13.8,23.0,14.3,31.392857142857142,7.0
2023-06-01,49.32780000007,-72.419499999925,6.0,1,29.3,0.7,18.0,36.0,31.8,18.178571428571427,8.0
2024-07-25,48.93000000000006,-69.11739999999998,7.0,1,21.5,11.0,16.8,59.0,43.5,25.207142857142856,5.0
2023-08-24,46.29953040397285,-63.064010832692006,8.0,0,19.5,0.9,11.5,57.0,59.3,22.27857142857143,2.0
2019-08-03,45.77890000118274,-75.59019999988291,8.0,1,23.7,0.7,13.6,62.0,8.9,25.86428571428572,4.0
2019-09-14,49.30999973531083,-72.43608880487075,9.0,0,16.6,21.5,21.7,70.0,43.9,14.414285714285716,3.0
2023-09-23,46.0578193634739,-76.59498484958647,9.0,0,22.1,0.0,9.8,49.0,44.8,18.86428571428572,4.0
2021-07-01,51.9617099645844,-66.8287299628674,7.0,0,15.7,0.5,14.6,41.0,53.3,18.535714285714285,2.0
2018-07-05,47.4284429044178,-78.38190722112788,7.0,0,29.8,1.6,20.3,50.0,54.5,25.407142857142865,4.0
2020-08-06,56.10820614813015,-77.18305842053644,8.0,0,15.1,0.0,26.6,73.0,7.2,14.128571428571428,5.0
2020-07-09,48.87110000105647,-72.17889999977417,7.0,1,29.7,0.0,11.2,53.0,38.3,24.53571428571429,2.0
